HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Wrexham,Southend United,1,0,0,0
Stockport County,Boreham Wood,1,2,1,1
Altrincham,Barnet,1,1,1,0
Boreham Wood,Wrexham,1,1,1,0
Chesterfield,Stockport County,0,1,0,0
Dagenham & Redbridge,Torquay United,0,0,0,0
Eastleigh,Halifax Town,1,2,1,1
Maidenhead United,Aldershot Town,2,2,1,1
Notts County,Dover Athletic,1,0,0,0
Solihull Moors,Bromley,3,0,0,1
Southend United,Weymouth,1,1,1,0
Woking,King's Lynn Town,0,3,0,1
Yeovil Town,Wealdstone,0,0,0,0
Torquay United,Chesterfield,2,0,0,0
Bromley,Dover Athletic,2,2,1,1
Halifax Town,Aldershot Town,1,1,1,0
Grimsby Town,Maidenhead United,1,3,1,1
Notts County,Altrincham,3,0,0,1
Solihull Moors,Dagenham & Redbridge,3,1,1,1
Wealdstone,King's Lynn Town,2,1,1,1
Weymouth,Barnet,1,2,1,1
Woking,Eastleigh,1,2,1,1
Yeovil Town,Boreham Wood,2,2,1,1
Wrexham,Stockport County,3,0,0,1
Grimsby Town,Boreham Wood,1,0,0,0
Bromley,Altrincham,1,1,1,0
Stockport County,Torquay United,1,0,0,0
Aldershot Town,Wealdstone,1,3,1,1
Altrincham,Yeovil Town,0,1,0,0
Barnet,Bromley,2,4,1,1
Boreham Wood,Solihull Moors,0,3,0,1
Chesterfield,Woking,0,0,0,0
Dagenham & Redbridge,Wrexham,3,0,0,1
Dover Athletic,Weymouth,1,2,1,1
Eastleigh,Grimsby Town,4,4,1,1
Maidenhead United,Notts County,0,1,0,0
Southend United,Torquay United,1,1,1,0
Stockport County,Halifax Town,2,0,0,0
Notts County,Grimsby Town,1,2,1,1
Halifax Town,Chesterfield,1,2,1,1
Wrexham,Grimsby Town,4,5,1,1
Solihull Moors,Chesterfield,3,1,1,1
Grimsby Town,Solihull Moors,2,1,1,1
Aldershot Town,Solihull Moors,1,4,1,1
Altrincham,Maidstone United,1,1,1,0
Barnet,Halifax Town,2,0,0,0
Dagenham & Redbridge,Gateshead,2,2,1,1
Dorking Wanderers,Chesterfield,2,2,1,1
Notts County,Maidenhead United,3,0,0,1
Southend United,Boreham Wood,0,1,0,0
Torquay United,Oldham Athletic,0,0,0,0
Wealdstone,Bromley,3,2,1,1
Wrexham,Eastleigh,2,1,1,1
York City,Woking,2,0,0,0
Scunthorpe United,Yeovil Town,2,1,1,1
Boreham Wood,Notts County,2,2,1,1
Bromley,Altrincham,0,0,0,0
Chesterfield,Aldershot Town,1,0,0,0
Eastleigh,Wealdstone,1,0,0,0
Halifax Town,Torquay United,0,1,0,0
Gateshead,Barnet,2,2,1,1
Maidenhead United,Scunthorpe United,3,2,1,1
Maidstone United,York City,2,1,1,1
Solihull Moors,Southend United,1,1,1,0
Woking,Dagenham & Redbridge,2,0,0,0
Yeovil Town,Wrexham,1,1,1,0
Oldham Athletic,Dorking Wanderers,3,2,1,1
Boreham Wood,Aldershot Town,1,2,1,1
Bromley,Torquay United,1,0,0,0
Chesterfield,Wrexham,2,0,0,0
Eastleigh,Dagenham & Redbridge,1,1,1,0
Halifax Town,Southend United,0,0,0,0
Gateshead,Notts County,1,1,1,0
Maidenhead United,Altrincham,2,0,0,0
Maidstone United,Dorking Wanderers,2,4,1,1
Oldham Athletic,Wealdstone,1,2,1,1
Woking,Scunthorpe United,2,0,0,0
Yeovil Town,Barnet,1,2,1,1
Solihull Moors,York City,1,1,1,0
Aldershot Town,Bromley,0,1,0,0
Altrincham,Yeovil Town,2,2,1,1
Barnet,Woking,2,0,0,0
Dagenham & Redbridge,Maidenhead United,1,0,0,0
Dorking Wanderers,Gateshead,2,1,1,1
Scunthorpe United,Solihull Moors,3,4,1,1
Southend United,Oldham Athletic,1,0,0,0
Torquay United,Boreham Wood,0,1,0,0
Wealdstone,Halifax Town,1,0,0,0
Wrexham,Maidstone United,5,0,0,1
York City,Eastleigh,0,1,0,0
Notts County,Chesterfield,2,2,1,1
Chesterfield,Barnet,3,1,1,1
Oldham Athletic,Aldershot Town,2,1,1,1
Boreham Wood,Altrincham,1,1,1,0
Bromley,Scunthorpe United,1,0,0,0
Eastleigh,Southend United,2,1,1,1
Halifax Town,Notts County,1,4,1,1
Gateshead,Wealdstone,0,1,0,0
Maidenhead United,York City,0,1,0,0
Maidstone United,Torquay United,1,0,0,0
Solihull Moors,Dorking Wanderers,3,0,0,1
Yeovil Town,Dagenham & Redbridge,1,0,0,0
Woking,Wrexham,2,3,1,1
Aldershot Town,Maidstone United,1,3,1,1
Altrincham,Chesterfield,1,2,1,1
Dagenham & Redbridge,Bromley,4,1,1,1
Dorking Wanderers,Boreham Wood,1,4,1,1
Notts County,Solihull Moors,1,0,0,0
Scunthorpe United,Halifax Town,0,2,0,0
Southend United,Maidenhead United,2,0,0,0
Torquay United,Woking,1,3,1,1
Wealdstone,Yeovil Town,0,0,0,0
York City,Oldham Athletic,1,1,1,0
Barnet,Eastleigh,3,1,1,1
Wrexham,Gateshead,3,1,1,1
Aldershot Town,Barnet,3,1,1,1
Bromley,Eastleigh,2,1,1,1
Dagenham & Redbridge,Notts County,0,5,0,1
Dorking Wanderers,Wrexham,0,5,0,1
Gateshead,Maidstone United,4,1,1,1
Maidenhead United,Halifax Town,1,1,1,0
